"Date and Time";"ec_state";"EC da água";"Médai do EC";"Hora lig 1";"Hora lig 2";"Hora lig 3"
"2025-10-11 17:27:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 17:17:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 17:07:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 16:57:33";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-11 16:52:42";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-11 16:47:33";"5";"1,46";"1,48";"0,23";"0,23";"0"
"2025-10-11 16:37:33";"5";"1,46";"1,48";"0,23";"0,23";"0"
"2025-10-11 16:27:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 16:17:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 16:07:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 15:57:33";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-11 15:52:42";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-11 15:47:33";"5";"1,46";"1,48";"0,23";"0,23";"0"
"2025-10-11 15:37:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 15:27:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 15:17:33";"5";"1,47";"1,48";"0,23";"0,23";"0"
"2025-10-11 15:07:33";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-11 14:57:33";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-11 14:52:41";"5";"1,48";"1,48";"0,23";"0,23";"0"
"2025-10-11 14:47:33";"4";"1,47";"1,47";"0,23";"0,23";"0"
"2025-10-11 14:47:30";"4";"1,47";"1,47";"0,23";"0,23";"0"
"2025-10-11 14:37:22";"5";"1,44";"1,47";"0";"0";"0"
"2025-10-11 14:27:23";"5";"1,44";"1,47";"0";"0";"0"
"2025-10-11 14:17:22";"5";"1,44";"1,47";"0";"0";"0"
"2025-10-11 14:07:22";"5";"1,45";"1,47";"0";"0";"0"
"2025-10-11 13:57:22";"5";"1,46";"1,47";"0";"0";"0"
"2025-10-11 13:47:22";"5";"1,47";"1,47";"0";"0";"0"
"2025-10-11 13:47:16";"5";"1,47";"1,47";"0";"0";"0"
"2025-10-11 13:37:22";"5";"1,45";"1,48";"0";"0";"0"
"2025-10-11 13:27:22";"5";"1,45";"1,48";"0";"0";"0"
"2025-10-11 13:17:22";"5";"1,45";"1,48";"0";"0";"0"
"2025-10-11 13:07:22";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-11 12:57:22";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-11 12:47:22";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 12:47:16";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 12:37:22";"5";"1,45";"1,48";"0";"0";"0"
"2025-10-11 12:27:22";"5";"1,45";"1,48";"0";"0";"0"
"2025-10-11 12:17:22";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-11 12:07:22";"5";"1,46";"1,48";"0";"0";"0"
"2025-10-11 11:57:22";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-11 11:47:22";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 11:47:16";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 11:37:22";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-11 11:27:22";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-11 11:17:22";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-11 11:07:22";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-11 10:57:22";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-11 10:47:22";"5";"1,47";"1,48";"0";"0";"0"
"2025-10-11 10:47:16";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 10:37:22";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 10:27:22";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 10:17:22";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 10:07:22";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 09:57:22";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 09:47:22";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 09:47:16";"5";"1,48";"1,48";"0";"0";"0"
"2025-10-11 09:37:22";"5";"1,49";"1,48";"0";"0";"0"
"2025-10-11 09:27:22";"5";"1,49";"1,48";"0";"0";"0"
"2025-10-11 09:17:22";"5";"1,49";"1,48";"0";"0";"0"
"2025-10-11 09:07:22";"5";"1,49";"1,48";"0";"0";"0"
"2025-10-11 08:57:21";"5";"1,49";"1,48";"0";"0";"0"
